eye_dist,nose_chin_dist,label
93.00537618869137,63.00793600809346,straight
65.00769185258002,59.43904440685432,left
51.78802950489621,58.69412236331676,right
92.00543462209176,63.00793600809346,straight
59.033888572581766,53.75872022286245,right
59.033888572581766,54.12947441089743,right
89.08984229416954,63.071388124885914,straight
88.0056816347672,59.0,straight
88.0056816347672,59.00847396772772,straight
88.05112151472007,60.03332407921454,straight
88.02272433866155,59.033888572581766,straight
89.02246907382428,60.03332407921454,straight
